transaction_id,customer_id,branch_id,transaction_amount,investment_amount,total_balance,firm_revenue,expenses,profit_margin,account_type,investment_type,customer_type,age,transaction_date,city,region,bank_name,city_branch,region_branch
300044,202904,1088,4136.0,40430,6313,246436.0,57113,5.95,Current,Fixed Deposit,Unknown,38.0,2023-09-29,Nagpur,West,HDFC Bank,Mumbai,West
300045,201453,1172,3924.0,29495,41400,635646.0,439728,95.97,Business,Recurring Deposit,Employee,59.0,2023-09-06,Kolhapur,North,HDFC Bank,Pune,South
300046,209070,1896,4109.0,25768,74796,647782.0,216486,76.21,Current,Fixed Deposit,Business,25.0,2024-10-13,Solapur,East,HDFC Bank,Nashik,East
300047,208578,1529,1391.0,16081,60021,99318.0,329650,1.49,Business,Mutual Fund,Unknown,30.0,2023-05-05,Pune,North,HDFC Bank,Kolhapur,West
300048,202434,1861,3112.0,7987,11536,457097.0,147441,84.27,Business,Mutual Fund,Employee,65.0,2022-05-27,Kolhapur,West,HDFC Bank,Nagpur,North
300049,209372,1075,1722.0,1808,20642,105973.0,493415,38.88,Savings,Mutual Fund,Business,35.0,2024-03-03,Nagpur,South,HDFC Bank,Kolhapur,South
300050,204519,1421,4779.0,12849,27673,647760.0,233210,-6.9,Current,Mutual Fund,Employee,66.0,2024-07-01,Nashik,South,HDFC Bank,Solapur,West
300051,200786,1800,4174.0,19217,8325,282544.0,498301,74.18,Savings,Recurring Deposit,Business,29.0,2022-09-30,Mumbai,North,HDFC Bank,Nashik,East
300052,206803,1648,1862.0,5514,2149,213095.0,330243,-33.32,Business,Mutual Fund,Individual,77.0,2023-10-30,Kolhapur,West,HDFC Bank,Kolhapur,North
300053,203219,1693,4325.55,47497,29377,728253.0,113335,60.92,Business,Fixed Deposit,Business,28.0,2022-07-21,Nagpur,South,HDFC Bank,Nashik,East
300054,207258,1958,2227.0,39792,57301,150885.0,252633,63.38,Business,Fixed Deposit,Business,48.0,2024-07-25,Pune,West,HDFC Bank,Mumbai,East
300055,206699,1015,4279.0,18200,25888,494847.0,394802,73.24,Savings,Mutual Fund,Individual,22.0,2023-06-19,Solapur,South,HDFC Bank,Nagpur,East
300056,201773,1995,1537.0,23933,40811,128572.0,424289,72.5,Savings,Recurring Deposit,Employee,41.0,2024-11-21,Pune,South,HDFC Bank,Nagpur,West
300057,202042,1626,3989.0,46476,79085,414168.0,372035,61.34,Business,Recurring Deposit,Business,49.0,2024-11-05,Kolhapur,North,HDFC Bank,Pune,East
300058,209816,1555,2650.0,36131,18004,319006.0,363767,-1.84,Current,Mutual Fund,Individual,71.0,2023-10-03,Nashik,South,HDFC Bank,Nashik,East
300059,207169,1794,2615.55,13299,46996,982714.0,321173,77.49,Current,Mutual Fund,Individual,19.0,2024-09-02,Mumbai,East,HDFC Bank,Kolhapur,West
300060,207608,1147,456.0,36194,17977,665993.0,380428,-44.51,Current,Mutual Fund,Business,76.0,2023-01-13,Kolhapur,North,HDFC Bank,Solapur,West
300061,209440,1851,260.0,32011,28472,319927.0,487652,18.28,Business,Fixed Deposit,Business,77.0,2025-03-19,Kolhapur,West,HDFC Bank,Solapur,East
300062,204242,1330,3166.0,12049,54691,218565.0,20520,-22.39,Business,Fixed Deposit,Individual,52.0,2022-07-07,Kolhapur,East,HDFC Bank,Pune,South
300063,201625,1047,2022.0,46919,81352,655189.0,116716,41.34,Current,Recurring Deposit,Employee,34.0,2022-05-31,Solapur,North,HDFC Bank,Solapur,East
300064,201471,1671,1620.0,34662,34379,309927.0,418318,-6.3,Savings,Fixed Deposit,Individual,72.0,2025-01-11,Kolhapur,West,HDFC Bank,Nashik,South
300065,205549,1791,3415.0,16440,31314,929317.0,307857,67.28,Current,Recurring Deposit,Business,73.0,2023-03-10,Pune,West,HDFC Bank,Mumbai,South
300066,201346,1889,663.0,3974,14144,622980.0,141581,-12.77,Savings,Recurring Deposit,Individual,79.0,2023-06-13,Nagpur,South,HDFC Bank,Solapur,North
300067,209306,1293,3360.0,12027,58970,995836.0,225541,39.81,Current,Recurring Deposit,Business,67.0,2022-07-22,Nagpur,North,HDFC Bank,Pune,South
300068,200013,1176,4091.0,30557,60291,518348.5,448247,-26.32,Business,Fixed Deposit,Individual,28.0,2023-03-17,Mumbai,South,HDFC Bank,Kolhapur,South
300069,209363,1750,109.0,40973,15668,391800.0,351826,95.84,Current,Fixed Deposit,Individual,58.0,2022-08-24,Solapur,North,HDFC Bank,Pune,North
300070,201826,1430,781.0,3247,11159,858613.0,88611,-40.43,Savings,Recurring Deposit,Business,44.0,2023-11-01,Solapur,West,HDFC Bank,Kolhapur,West
300071,208600,1462,771.19,16631,43386,526771.0,194721,9.21,Savings,Recurring Deposit,Individual,36.0,2023-05-26,Mumbai,East,HDFC Bank,Mumbai,South
300072,205507,1873,776.0,1571,93190,485189.0,303349,-38.28,Current,Mutual Fund,Employee,20.0,2024-02-23,Pune,West,HDFC Bank,Nashik,West
300073,204152,1369,292.0,6727,41654,620129.0,451495,2.32,Business,Recurring Deposit,Employee,67.0,2024-12-02,Mumbai,East,HDFC Bank,Pune,West
300074,202561,1111,3227.0,16048,94115,702367.0,190514,-13.68,Business,Recurring Deposit,Employee,75.0,2023-10-08,Solapur,North,HDFC Bank,Nagpur,East
300075,201902,1472,587.0,34913,74259,338461.0,150023,-16.92,Savings,Mutual Fund,Individual,49.0,2022-11-28,Solapur,North,HDFC Bank,Solapur,West
300076,208596,1166,385.0,37067,77182,744810.0,50143,33.07,Business,Recurring Deposit,Business,64.0,2023-10-17,Pune,South,HDFC Bank,Nagpur,East
300077,207916,1935,1367.0,46381,14799,991065.0,178856,21.73,Current,Fixed Deposit,Employee,60.0,2023-09-23,Nagpur,South,HDFC Bank,Mumbai,North
300078,205720,1448,934.0,24135,13928,810315.0,487186,29.49,Savings,Fixed Deposit,Employee,58.0,2023-02-09,Mumbai,East,HDFC Bank,Solapur,East
300079,200858,1758,901.86,4345,43133,521880.0,436030,-18.25,Savings,Recurring Deposit,Employee,49.0,2025-01-25,Pune,North,HDFC Bank,Solapur,East
300080,200208,1916,1222.0,22763,84847,271239.0,456524,-30.72,Current,Mutual Fund,Individual,53.0,2023-05-09,Nagpur,East,HDFC Bank,Solapur,North
300081,202190,1714,3681.0,23699,43308,759223.0,44148,44.57,Current,Mutual Fund,Business,43.0,2025-03-15,Kolhapur,West,HDFC Bank,Nashik,North
300082,208109,1791,3311.0,11587,48383,929317.0,307857,67.28,Current,Fixed Deposit,Business,29.0,2025-02-14,Mumbai,North,HDFC Bank,Mumbai,South
300083,207794,1023,2256.0,13962,86627,141055.0,264179,-9.72,Business,Fixed Deposit,Employee,49.0,2024-12-21,Nashik,East,HDFC Bank,Solapur,North
300084,201822,1515,2390.0,8777,4360,943560.0,228782,26.07,Business,Mutual Fund,Business,49.0,2022-07-09,Nashik,North,HDFC Bank,Nagpur,West
300085,207741,1443,1164.0,29535,46631,852336.0,338353,65.21,Business,Recurring Deposit,Business,59.0,2024-10-22,Kolhapur,East,HDFC Bank,Nagpur,North
300086,200545,1445,3891.0,15881,74422,521225.0,208347,52.59,Current,Recurring Deposit,Employee,39.0,2024-12-01,Nashik,East,HDFC Bank,Pune,South
300087,208995,1854,2198.0,3160,20259,197462.0,333419,41.84,Business,Recurring Deposit,Employee,65.0,2022-12-11,Nagpur,South,HDFC Bank,Nashik,East
300088,201127,1764,1476.0,5260,2577,822390.0,379108,-20.85,Business,Recurring Deposit,Employee,28.0,2024-06-27,Pune,West,HDFC Bank,Pune,East
300089,206476,1413,2227.0,10696,38065,767738.0,280413,66.63,Current,Mutual Fund,Business,59.0,2023-04-05,Pune,North,HDFC Bank,Solapur,North
300090,204092,1557,446.0,37239,40483,528963.0,202030,39.71,Current,Mutual Fund,Individual,55.0,2022-11-29,Mumbai,East,HDFC Bank,Nashik,South
300091,200246,1844,1858.0,41677,37201,298637.0,441832,-28.5,Current,Mutual Fund,Employee,20.0,2024-03-08,Nashik,South,HDFC Bank,Solapur,West
300092,208656,1599,1438.0,11212,33653,184962.0,330584,-17.66,Savings,Recurring Deposit,Employee,49.0,2023-10-31,Solapur,East,HDFC Bank,Nashik,East
300093,206444,1846,4795.0,29859,98586,278628.0,479866,61.55,Current,Recurring Deposit,Individual,75.0,2023-05-14,Solapur,West,HDFC Bank,Kolhapur,South
300094,200619,1030,2796.0,32851,98266,950410.0,483008,-2.32,Current,Fixed Deposit,Employee,18.0,2024-12-09,Mumbai,North,HDFC Bank,Pune,East
300095,201958,1933,4167.0,47288,56360,507858.0,114568,-38.18,Business,Mutual Fund,Employee,49.0,2025-02-22,Pune,North,HDFC Bank,Kolhapur,West
300096,206681,1749,553.0,47078,99202,126755.0,479526,73.02,Savings,Mutual Fund,Individual,37.0,2024-08-02,Mumbai,West,HDFC Bank,Nagpur,West
300097,209421,1499,1409.0,29438,83453,101014.0,232018,-44.13,Business,Recurring Deposit,Individual,35.0,2023-02-25,Pune,West,HDFC Bank,Kolhapur,South
300098,208548,1902,189.0,37746,80321,708168.0,351350,45.72,Savings,Recurring Deposit,Business,76.0,2025-02-16,Nashik,West,HDFC Bank,Kolhapur,East
300099,202378,1134,1419.0,24154,8615,657173.0,370102,50.26,Current,Recurring Deposit,Business,22.0,2023-08-06,Nagpur,East,HDFC Bank,Kolhapur,South
300100,203351,1977,1245.41,14369,69990,938024.0,185992,36.13,Savings,Recurring Deposit,Business,33.0,2022-06-15,Nashik,West,HDFC Bank,Nagpur,East
300101,200884,1343,2603.0,7744,22527,454238.0,329039,44.85,Current,Mutual Fund,Business,45.0,2023-03-11,Kolhapur,North,HDFC Bank,Nagpur,East
300102,206585,1320,3102.0,33839,78341,534803.0,41265,-34.71,Savings,Recurring Deposit,Business,35.0,2022-05-09,Solapur,North,HDFC Bank,Kolhapur,South
300103,209950,1974,1262.0,23149,62479,361554.0,291418,-47.97,Business,Fixed Deposit,Business,28.0,2023-07-24,Solapur,North,HDFC Bank,Nagpur,North
300104,209649,1864,2023.0,11839,77880,855376.0,445100,36.37,Savings,Recurring Deposit,Employee,19.0,2023-12-04,Nagpur,East,HDFC Bank,Nagpur,East
300105,206343,1247,1888.0,32443,97150,457796.0,462368,42.44,Savings,Fixed Deposit,Individual,33.0,2023-05-10,Nashik,North,HDFC Bank,Pune,North
300106,200550,1468,4869.0,6378,37640,768420.0,164449,40.44,Current,Fixed Deposit,Employee,78.0,2022-07-01,Solapur,West,HDFC Bank,Mumbai,East
300107,208391,1799,544.0,43856,57068,125469.0,52574,13.77,Business,Recurring Deposit,Business,70.0,2023-02-11,Nagpur,South,HDFC Bank,Mumbai,East
300108,209582,1583,2580.0,13089,77018,698963.0,230379,41.32,Business,Recurring Deposit,Individual,70.0,2024-08-18,Pune,East,HDFC Bank,Pune,North
300109,203742,1902,4240.0,10238,16002,708168.0,351350,45.72,Current,Fixed Deposit,Business,46.0,2023-07-22,Nagpur,East,HDFC Bank,Kolhapur,East
300110,201443,1032,3992.0,37536,76069,722489.0,127639,53.12,Current,Recurring Deposit,Individual,57.0,2023-02-14,Mumbai,West,HDFC Bank,Nashik,North
300111,204774,1753,2094.0,11322,2758,708640.0,256332,11.25,Business,Fixed Deposit,Individual,74.0,2025-01-02,Solapur,North,HDFC Bank,Kolhapur,East
300112,208468,1188,2850.0,2664,35712,295840.0,253739,-24.03,Savings,Fixed Deposit,Employee,46.0,2024-05-04,Pune,West,HDFC Bank,Kolhapur,East
300113,200053,1630,4528.0,25322,88489,114735.0,327021,15.08,Business,Recurring Deposit,Individual,74.0,2023-11-25,Pune,North,HDFC Bank,Pune,East
300114,200163,1578,1456.0,42750,18939,815148.0,353594,-47.58,Business,Fixed Deposit,Employee,79.0,2024-12-13,Nashik,North,HDFC Bank,Kolhapur,North
300115,206798,1090,4163.0,15336,62558,629001.0,345832,97.09,Business,Fixed Deposit,Business,48.0,2024-03-02,Kolhapur,West,HDFC Bank,Pune,North
300116,202789,1859,4394.0,44374,49938,892465.0,216124,21.16,Current,Fixed Deposit,Individual,67.0,2022-10-28,Nagpur,West,HDFC Bank,Nashik,South
300117,204517,1713,5131.41,25219,68138,491267.0,143105,-14.73,Current,Mutual Fund,Employee,64.0,2023-05-06,Mumbai,North,HDFC Bank,Kolhapur,South
300118,209445,1985,610.0,8151,19937,963505.0,300923,72.08,Savings,Recurring Deposit,Business,49.0,2022-10-23,Solapur,South,HDFC Bank,Nashik,North
300119,209521,1101,4323.0,44076,9767,866744.0,147716,-26.19,Savings,Recurring Deposit,Individual,65.0,2023-04-08,Nagpur,North,HDFC Bank,Nagpur,East
300120,209177,1899,1165.0,1594,67405,456261.0,269692,-24.56,Business,Mutual Fund,Employee,78.0,2024-08-09,Nagpur,West,HDFC Bank,Nashik,West
300121,205359,1963,2660.0,6004,35093,292442.0,407710,-34.39,Current,Fixed Deposit,Individual,71.0,2024-07-05,Pune,South,HDFC Bank,Pune,South
300122,205652,1924,2731.0,33733,23971,242542.0,151511,66.41,Business,Mutual Fund,Individual,29.0,2023-05-03,Pune,South,HDFC Bank,Nagpur,North
300123,201080,1024,3698.0,16128,52943,453778.0,239635,23.83,Current,Fixed Deposit,Individual,68.0,2024-09-14,Solapur,West,HDFC Bank,Nagpur,South
300124,208850,1054,2984.0,28130,43169,967410.0,419776,-46.92,Business,Recurring Deposit,Employee,47.0,2024-01-15,Nagpur,South,HDFC Bank,Nagpur,West
300125,205148,1632,2553.0,35029,5247,107490.0,208021,20.34,Savings,Recurring Deposit,Individual,26.0,2024-09-12,Pune,East,HDFC Bank,Kolhapur,South
300126,202265,1590,3575.0,38148,72586,566970.0,486922,25.14,Business,Recurring Deposit,Business,49.0,2023-12-01,Nagpur,South,HDFC Bank,Nashik,South
300127,204641,1371,605.0,23902,86526,108846.0,109030,92.34,Current,Fixed Deposit,Business,18.0,2023-10-04,Solapur,South,HDFC Bank,Mumbai,East
300128,200848,1088,3984.0,36200,93679,246436.0,57113,5.95,Current,Mutual Fund,Unknown,55.0,2023-02-24,Pune,North,HDFC Bank,Mumbai,West
300129,208657,1101,3260.0,44969,71869,866744.0,147716,-26.19,Business,Mutual Fund,Business,25.0,2022-10-21,Nagpur,South,HDFC Bank,Nagpur,East
300130,204661,1845,3763.0,32727,86647,808814.0,341562,76.27,Savings,Mutual Fund,Individual,22.0,2024-05-20,Kolhapur,West,HDFC Bank,Nashik,South
300131,207711,1906,3774.0,16137,91053,518348.5,35684,47.26,Business,Fixed Deposit,Individual,22.0,2024-04-25,Kolhapur,West,HDFC Bank,Nashik,North
300132,204599,1813,674.0,6690,6606,52125.0,463465,-35.83,Business,Recurring Deposit,Business,35.0,2022-08-09,Pune,West,HDFC Bank,Nagpur,East
300133,205661,1211,4079.0,14536,76708,905634.0,215963,15.81,Current,Recurring Deposit,Employee,75.0,2022-06-02,Nashik,West,HDFC Bank,Nashik,South
300134,209566,1124,4411.0,10417,16347,657564.0,131822,-47.83,Current,Recurring Deposit,Employee,49.0,2022-09-07,Mumbai,South,HDFC Bank,Pune,East
300135,206111,1248,2637.0,38073,21222,518348.5,59554,-42.5,Savings,Recurring Deposit,Business,75.0,2022-11-13,Solapur,East,HDFC Bank,Pune,East
300136,205515,1923,3012.0,16381,76070,520239.0,415391,52.1,Business,Mutual Fund,Individual,56.0,2024-11-19,Solapur,South,HDFC Bank,Solapur,East
300137,209998,1856,3982.0,16028,43649,139931.0,104135,86.18,Savings,Recurring Deposit,Employee,21.0,2022-11-24,Kolhapur,North,HDFC Bank,Kolhapur,East
300138,208610,1546,1833.0,33244,92016,518348.5,67502,11.03,Business,Recurring Deposit,Individual,41.0,2025-02-10,Mumbai,North,HDFC Bank,Nagpur,East
300139,201459,1691,4885.0,41478,45434,75224.0,300760,-22.01,Savings,Recurring Deposit,Employee,69.0,2024-01-05,Solapur,West,HDFC Bank,Pune,West
300140,204532,1357,689.0,38185,76590,491869.0,66944,-1.34,Business,Recurring Deposit,Employee,64.0,2024-10-02,Nashik,North,HDFC Bank,Nagpur,West
300141,206029,1414,4076.0,15550,78592,179730.0,33160,-13.16,Savings,Fixed Deposit,Business,36.0,2022-06-27,Nashik,North,HDFC Bank,Solapur,North
300142,206289,1546,2965.0,39146,17919,518348.5,67502,11.03,Business,Fixed Deposit,Business,20.0,2023-11-08,Nagpur,East,HDFC Bank,Nagpur,East
300143,202213,1117,3267.0,4757,16398,286476.0,326419,-1.85,Current,Mutual Fund,Employee,57.0,2023-11-03,Pune,North,HDFC Bank,Nashik,South
300144,200597,1287,2592.0,28000,99990,710254.0,274736,95.39,Business,Recurring Deposit,Individual,54.0,2024-10-01,Solapur,East,HDFC Bank,Nagpur,East
300145,209381,1473,4226.0,33599,21156,866755.0,221547,58.11,Business,Fixed Deposit,Business,32.0,2024-03-17,Mumbai,West,HDFC Bank,Solapur,West
300146,205528,1951,4756.0,26816,40524,232807.0,354228,86.49,Current,Mutual Fund,Employee,21.0,2024-06-19,Pune,East,HDFC Bank,Mumbai,North
300147,208637,1358,782.0,20624,9929,450058.0,159401,78.45,Business,Fixed Deposit,Employee,43.0,2023-04-15,Pune,East,HDFC Bank,Solapur,North
300148,204749,1332,2448.0,29221,18171,681032.0,272689,4.79,Savings,Mutual Fund,Business,61.0,2024-07-27,Kolhapur,South,HDFC Bank,Solapur,East
300149,200046,1571,2359.0,14701,18156,75223.0,495797,-11.02,Business,Mutual Fund,Business,79.0,2022-04-07,Solapur,West,HDFC Bank,Kolhapur,East
300150,209704,1675,1325.0,14764,91347,911226.0,307216,71.52,Savings,Recurring Deposit,Employee,22.0,2025-02-09,Nagpur,South,HDFC Bank,Solapur,West
300151,207890,1326,4841.0,22937,48523,134485.0,70906,-19.1,Current,Mutual Fund,Employee,47.0,2022-09-14,Nashik,North,HDFC Bank,Kolhapur,South
300152,201286,1391,1340.0,23950,74082,789537.0,473749,-17.84,Savings,Recurring Deposit,Employee,21.0,2025-02-12,Nagpur,West,HDFC Bank,Mumbai,West
300153,202701,1088,3989.0,9143,82597,246436.0,57113,5.95,Current,Recurring Deposit,Business,29.0,2024-07-02,Solapur,South,HDFC Bank,Mumbai,West
300154,200942,1327,553.0,1938,99993,152201.0,149226,57.31,Savings,Recurring Deposit,Unknown,25.0,2023-05-09,Nashik,East,HDFC Bank,Nashik,North
300155,202290,1300,2783.0,34108,8955,575283.0,343346,32.19,Current,Mutual Fund,Employee,32.0,2024-12-10,Solapur,South,HDFC Bank,Solapur,East
300156,200903,1960,1268.0,38242,64612,224454.0,201088,54.07,Business,Mutual Fund,Employee,75.0,2023-08-31,Mumbai,West,HDFC Bank,Solapur,South
300157,205452,1150,4538.0,11023,22972,972742.0,142072,35.0,Savings,Mutual Fund,Business,18.0,2022-09-10,Nashik,East,HDFC Bank,Pune,East
300158,202659,1486,803.0,8556,6267,999975.0,471140,-42.72,Current,Recurring Deposit,Business,62.0,2023-06-19,Nagpur,North,HDFC Bank,Pune,North
300159,201131,1614,2758.0,30920,91885,460952.0,332600,31.29,Business,Mutual Fund,Employee,40.0,2024-01-25,Nashik,East,HDFC Bank,Solapur,West
300160,202368,1530,731.0,16938,96916,314730.0,200082,-12.8,Business,Fixed Deposit,Individual,46.0,2022-11-21,Mumbai,East,HDFC Bank,Mumbai,East
300161,206948,1701,2048.0,46372,48385,668422.0,262052,36.21,Current,Recurring Deposit,Employee,49.0,2024-02-23,Solapur,South,HDFC Bank,Nagpur,East
300162,203544,1740,3434.0,5608,25726,846852.0,157207,46.61,Current,Fixed Deposit,Unknown,72.0,2022-03-26,Nagpur,West,HDFC Bank,Pune,South
300163,208658,1759,482.0,17190,63852,667434.0,386002,63.86,Savings,Mutual Fund,Employee,49.0,2023-05-04,Kolhapur,South,HDFC Bank,Pune,South
300164,204057,1227,580.76,7473,30592,990092.0,239838,9.35,Current,Fixed Deposit,Unknown,73.0,2024-05-06,Mumbai,South,HDFC Bank,Pune,West
300165,204850,1879,2537.0,45303,95211,478470.0,361650,-9.88,Business,Fixed Deposit,Employee,52.0,2022-12-23,Pune,East,HDFC Bank,Mumbai,South
300166,204034,1213,2119.0,11219,60226,580234.0,492210,79.6,Current,Fixed Deposit,Individual,19.0,2024-05-17,Kolhapur,West,HDFC Bank,Pune,East
300167,201135,1601,2830.0,5123,62321,960427.0,459729,73.41,Savings,Recurring Deposit,Employee,28.0,2022-09-02,Kolhapur,West,HDFC Bank,Mumbai,South
